date,home,away,goals_home,goals_away,season,delta,year,home__val,away__val,home__scored,home__suffered,home__delta_minus_1,home__delta_minus_2,home__delta_minus_3,home__delta_minus_4,home__avg_scored_3,home__avg_suffered_3,home__avg_scored_5,home__avg_suffered_5,away__scored,away__suffered,away__delta_minus_1,away__delta_minus_2,away__delta_minus_3,away__delta_minus_4,away__avg_scored_3,away__avg_suffered_3,away__avg_scored_5,away__avg_suffered_5
2019-08-23,Rio Ave FC,Desportivo Aves,5,1,2019,4,2019,17850,10700,5,1,4,-1,-1,0,1.6666666666666665,1.0,0.0,1.4000000000000001,1,5,-4,2,2,-1,2.333333333333333,2.333333333333333,1.8,2.1999999999999997
2019-08-23,Rio Ave FC,Desportivo Aves,5,1,2019,4,2019,17850,10700,5,1,4,-1,-1,0,1.6666666666666665,1.0,0.0,1.4000000000000001,1,5,2,2,-1,-1,2.3333333333333335,1.3333333333333333,0.0,1.6
2019-08-23,Rio Ave FC,Desportivo Aves,5,1,2019,4,2019,17850,10700,5,1,-1,-1,0,0,0.0,1.0,0.0,1.4000000000000001,1,5,-4,2,2,-1,2.333333333333333,2.333333333333333,1.8,2.1999999999999997
2019-08-23,Rio Ave FC,Desportivo Aves,5,1,2019,4,2019,17850,10700,5,1,-1,-1,0,0,0.0,1.0,0.0,1.4000000000000001,1,5,2,2,-1,-1,2.3333333333333335,1.3333333333333333,0.0,1.6
2019-08-24,Benfica,FC Porto,0,2,2019,-2,2019,314700,256750,0,2,-2,2,2,5,1.3333333333333333,0.6666666666666666,2.8,0.4,2,0,2,4,4,-1,3.333333333333333,0.0,2.4000000000000004,0.8
2019-08-24,Benfica,FC Porto,0,2,2019,-2,2019,314700,256750,0,2,-2,2,2,5,1.3333333333333333,0.6666666666666666,2.8,0.4,2,0,4,4,-1,-1,3.0,0.6666666666666666,0.0,1.0
2019-08-24,Benfica,FC Porto,0,2,2019,-2,2019,314700,256750,0,2,2,2,5,5,3.0,0.0,0.0,0.2,2,0,2,4,4,-1,3.333333333333333,0.0,2.4000000000000004,0.8
2019-08-24,Benfica,FC Porto,0,2,2019,-2,2019,314700,256750,0,2,2,2,5,5,3.0,0.0,0.0,0.2,2,0,4,4,-1,-1,3.0,0.6666666666666666,0.0,1.0
2019-08-24,Boavista,Paços Ferreira,1,1,2019,0,2019,17650,10200,1,1,0,0,0,1,1.0,1.0,1.4,1.0,1,1,0,-1,-1,-5,0.3333333333333333,1.0,0.2,2.6
2019-08-24,Boavista,Paços Ferreira,1,1,2019,0,2019,17650,10200,1,1,0,0,0,1,1.0,1.0,1.4,1.0,1,1,-1,-1,-5,-5,0.0,2.333333333333333,0.0,3.0
2019-08-24,Boavista,Paços Ferreira,1,1,2019,0,2019,17650,10200,1,1,0,0,1,1,1.3333333333333333,1.0,0.0,0.8,1,1,0,-1,-1,-5,0.3333333333333333,1.0,0.2,2.6
2019-08-24,Boavista,Paços Ferreira,1,1,2019,0,2019,17650,10200,1,1,0,0,1,1,1.3333333333333333,1.0,0.0,0.8,1,1,-1,-1,-5,-5,0.0,2.333333333333333,0.0,3.0
2019-08-25,Marítimo,Tondela,2,3,2019,-1,2019,15650,11050,2,3,-1,-2,-2,0,1.3333333333333333,3.0,1.2,2.2000000000000006,3,2,1,-1,-1,0,1.6666666666666665,2.0,1.0,1.2000000000000002
2019-08-25,Marítimo,Tondela,2,3,2019,-1,2019,15650,11050,2,3,-1,-2,-2,0,1.3333333333333333,3.0,1.2,2.2000000000000006,3,2,-1,-1,0,0,0.6666666666666666,1.3333333333333333,0.0,1.2000000000000002
